"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,174,"PAN","Panama",1,"Bocas del Toro",1,"Bocas del Toro","Distrito","District",NA,NA
2,174,"PAN","Panama",1,"Bocas del Toro",2,"Changuinola","Distrito","District",NA,NA
3,174,"PAN","Panama",1,"Bocas del Toro",3,"Chiriquí Grande","Distrito","District",NA,NA
4,174,"PAN","Panama",2,"Chiriquí",4,"Alanje","Distrito","District",NA,NA
5,174,"PAN","Panama",2,"Chiriquí",5,"Barú","Distrito","District",NA,NA
6,174,"PAN","Panama",2,"Chiriquí",6,"Boquerón","Distrito","District",NA,NA
7,174,"PAN","Panama",2,"Chiriquí",7,"Boquete","Distrito","District",NA,NA
8,174,"PAN","Panama",2,"Chiriquí",8,"Bugaba","Distrito","District",NA,NA
9,174,"PAN","Panama",2,"Chiriquí",9,"David","Distrito","District",NA,NA
10,174,"PAN","Panama",2,"Chiriquí",10,"Dolega","Distrito","District",NA,NA
11,174,"PAN","Panama",2,"Chiriquí",11,"Gualaca","Distrito","District",NA,NA
12,174,"PAN","Panama",2,"Chiriquí",12,"Remedios","Distrito","District",NA,NA
13,174,"PAN","Panama",2,"Chiriquí",13,"Renacimiento","Distrito","District",NA,NA
14,174,"PAN","Panama",2,"Chiriquí",14,"San Félix","Distrito","District",NA,NA
15,174,"PAN","Panama",2,"Chiriquí",15,"San Lorenzo","Distrito","District",NA,NA
16,174,"PAN","Panama",2,"Chiriquí",16,"Tolé","Distrito","District",NA,NA
17,174,"PAN","Panama",3,"Coclé",17,"Aguadulce","Distrito","District",NA,NA
18,174,"PAN","Panama",3,"Coclé",18,"Antón","Distrito","District",NA,NA
19,174,"PAN","Panama",3,"Coclé",19,"La Pintada","Distrito","District",NA,NA
20,174,"PAN","Panama",3,"Coclé",20,"Natá","Distrito","District",NA,NA
21,174,"PAN","Panama",3,"Coclé",21,"Olá","Distrito","District",NA,NA
22,174,"PAN","Panama",3,"Coclé",22,"Penonomé","Distrito","District",NA,NA
23,174,"PAN","Panama",4,"Colón",23,"Chagres","Distrito","District",NA,NA
24,174,"PAN","Panama",4,"Colón",24,"Colón","Distrito","District",NA,NA
25,174,"PAN","Panama",4,"Colón",25,"Donoso","Distrito","District",NA,NA
