"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,174,"PAN","Panama",1,"Bocas del Toro",1,"Bocas del Toro",1,"Bastimentos","Corregimiento","Municipality",NA,NA
2,174,"PAN","Panama",1,"Bocas del Toro",1,"Bocas del Toro",2,"Bocas del Toro","Corregimiento","Municipality",NA,NA
3,174,"PAN","Panama",1,"Bocas del Toro",1,"Bocas del Toro",3,"Cauchero","Corregimiento","Municipality",NA,NA
4,174,"PAN","Panama",1,"Bocas del Toro",1,"Bocas del Toro",4,"Punta Laurel","Corregimiento","Municipality",NA,NA
5,174,"PAN","Panama",1,"Bocas del Toro",1,"Bocas del Toro",5,"Tierra Oscura","Corregimiento","Municipality",NA,NA
6,174,"PAN","Panama",1,"Bocas del Toro",2,"Changuinola",6,"Almirante","Corregimiento","Municipality",NA,NA
7,174,"PAN","Panama",1,"Bocas del Toro",2,"Changuinola",7,"Changuinola","Corregimiento","Municipality",NA,NA
8,174,"PAN","Panama",1,"Bocas del Toro",2,"Changuinola",8,"Guabito","Corregimiento","Municipality",NA,NA
9,174,"PAN","Panama",1,"Bocas del Toro",2,"Changuinola",9,"Teribe","Corregimiento","Municipality",NA,NA
10,174,"PAN","Panama",1,"Bocas del Toro",2,"Changuinola",10,"Valle del Risco","Corregimiento","Municipality",NA,NA
11,174,"PAN","Panama",1,"Bocas del Toro",3,"Chiriquí Grande",11,"Chiriquí Grande","Corregimiento","Municipality",NA,NA
12,174,"PAN","Panama",1,"Bocas del Toro",3,"Chiriquí Grande",12,"Miramar","Corregimiento","Municipality",NA,NA
13,174,"PAN","Panama",1,"Bocas del Toro",3,"Chiriquí Grande",13,"Punta Peña","Corregimiento","Municipality",NA,NA
14,174,"PAN","Panama",1,"Bocas del Toro",3,"Chiriquí Grande",14,"Punta Robalo","Corregimiento","Municipality",NA,NA
